Crop,N,P,K,pH,Temperature,Humidity,Rainfall,Yield_tons_per_hectare
Cotton,115.45,127.05,81.42,7.57,32.77,61.51,104.24,1.91
Rice,56.82,35.26,30.29,6.54,39.57,61.33,234.31,2.64
Maize,135.84,91.78,51.29,6.26,21.42,71.8,143.48,3.67
Soybean,81.37,46.97,92.88,6.82,15.87,71.86,96.91,1.94
Groundnut,6.22,47.71,50.1,6.63,21.0,56.65,76.25,1.24
Cotton,152.96,58.1,44.78,7.46,38.61,65.32,44.03,1.79
Maize,188.01,55.85,58.88,7.19,20.37,64.4,17.94,3.17
Sugarcane,192.42,75.04,132.65,6.48,27.8,76.31,322.06,6.82
Groundnut,64.89,50.2,20.37,6.43,28.0,54.0,103.49,1.14
Wheat,123.41,73.24,91.72,6.38,30.67,40.48,142.41,2.62
Wheat,128.43,47.55,55.84,6.75,17.05,68.5,167.85,2.64
Soybean,106.99,66.15,66.26,6.81,21.86,64.4,167.36,1.97
Wheat,119.37,62.35,85.55,6.7,22.74,57.98,139.12,2.97
Groundnut,54.76,66.27,66.11,6.21,30.41,56.9,116.21,1.19
Groundnut,32.91,61.9,23.64,7.25,21.97,47.86,157.91,1.66
Tomato,138.72,72.57,79.76,6.05,24.38,63.23,168.76,2.71
Cotton,75.24,43.57,78.26,6.72,23.89,57.44,132.25,2.14
Rice,65.87,44.64,11.04,5.8,24.41,77.87,215.55,3.18
Potato,175.73,76.8,99.62,5.5,17.91,72.11,166.14,2.2
Onion,115.58,80.65,47.82,7.0,25.45,60.99,111.2,1.71
Wheat,122.93,44.54,60.49,7.25,27.26,69.59,257.66,2.54
Soybean,106.17,63.67,93.8,6.1,21.8,64.01,23.81,1.55
Wheat,97.23,63.01,66.84,7.94,24.75,54.23,105.08,2.79
Onion,60.39,86.63,73.59,6.57,13.43,78.54,94.27,1.67
Cotton,52.17,38.01,70.1,7.02,25.75,61.23,66.62,2.07
Tomato,123.61,70.29,94.23,5.94,16.33,82.78,136.62,2.57
Groundnut,76.53,52.31,63.59,6.23,37.3,77.55,87.55,1.17
Tomato,139.36,87.37,60.7,6.84,29.29,52.41,60.84,2.06
Sugarcane,191.92,114.35,130.05,7.24,38.14,61.2,164.83,7.12
Wheat,131.52,59.35,18.65,6.96,13.48,66.7,168.33,2.36
Rice,64.58,18.82,38.75,6.98,23.07,85.04,173.49,2.84
Sugarcane,196.79,79.3,88.93,6.6,39.82,75.35,215.01,7.39
Cotton,96.63,45.58,82.28,7.38,25.35,49.24,106.25,1.88
Wheat,74.54,87.34,92.9,6.88,22.88,63.11,303.94,2.42
Sugarcane,196.16,80.89,67.87,7.3,26.22,60.78,217.67,7.01
Wheat,170.61,77.63,59.84,7.74,20.39,51.39,226.16,2.62
Soybean,48.88,56.19,32.49,5.81,30.63,89.09,60.07,1.9
Cotton,80.48,40.26,58.15,6.57,28.24,46.69,133.52,2.22
Potato,142.83,61.85,88.46,6.38,20.5,65.22,154.97,2.46
Groundnut,0.0,60.87,26.75,6.49,23.18,41.95,18.62,1.2
Maize,157.79,51.91,62.77,5.97,24.67,52.89,147.41,3.59
Groundnut,4.19,42.31,60.13,5.91,31.18,48.7,126.49,1.54
Groundnut,0.0,34.06,51.54,6.1,28.86,53.96,104.33,1.22
Sugarcane,235.03,105.09,106.75,6.99,27.56,70.67,269.72,7.39
Cotton,108.69,91.51,87.42,6.84,34.01,50.92,18.09,1.75
Wheat,63.88,52.97,60.37,7.84,21.63,57.81,191.47,2.14
Tomato,127.07,75.42,50.43,7.07,25.69,65.85,151.64,3.09
Maize,155.46,74.96,40.81,6.38,29.15,56.44,183.58,3.65
Onion,114.37,56.67,70.75,6.54,20.65,55.21,77.79,1.82
Sugarcane,222.71,81.56,117.39,7.88,32.07,93.77,211.31,6.95
Maize,96.64,99.92,63.09,6.77,26.4,53.75,302.29,3.2
Potato,153.28,94.52,109.62,6.11,14.05,79.71,244.1,2.56
Soybean,127.8,49.78,30.21,6.44,26.28,80.94,45.38,1.99
Cotton,95.26,41.46,49.76,6.17,32.12,55.73,55.5,1.96
Onion,89.93,83.38,44.81,6.05,20.77,62.27,-34.84,1.61
Sugarcane,193.07,113.92,136.98,7.76,28.66,63.93,378.67,7.13
Groundnut,30.42,49.52,43.96,6.13,24.13,54.53,98.36,1.64
Rice,58.61,42.13,34.9,7.25,14.75,90.92,262.3,2.6
Sugarcane,189.72,92.57,71.85,6.81,24.45,92.52,296.78,7.52
Rice,101.65,17.42,29.51,6.74,21.89,87.13,187.98,2.74
Groundnut,51.33,58.89,32.78,6.78,21.59,66.16,129.66,1.32
Soybean,89.78,34.98,68.48,6.41,23.39,80.49,94.78,1.57
Cotton,53.3,62.12,44.39,7.88,17.59,71.96,130.55,1.9
Wheat,103.65,67.98,59.25,7.55,20.57,61.5,131.82,2.8
Sugarcane,209.23,65.8,73.04,7.57,30.85,73.16,250.92,7.25
Tomato,103.81,44.43,83.92,6.01,26.04,52.97,171.46,2.78
Groundnut,37.68,69.65,73.31,6.71,17.8,47.2,68.76,1.31
Sugarcane,215.53,85.49,103.74,6.82,26.94,60.93,203.84,7.2
Potato,120.72,101.07,81.01,7.32,20.47,76.85,107.08,2.29
Soybean,62.73,62.44,101.2,6.45,31.75,62.97,128.25,2.08
Potato,131.19,116.25,114.16,5.72,21.16,84.73,181.09,1.84
Maize,128.19,65.05,48.51,7.11,25.89,51.65,199.01,3.88
Cotton,116.79,71.62,86.68,7.23,27.65,38.39,141.48,2.17
Maize,158.15,44.47,28.38,7.33,24.8,71.82,181.42,3.47
Sugarcane,228.15,89.68,101.92,6.97,27.83,71.91,261.11,7.45
Onion,137.67,32.11,46.26,6.58,29.23,66.97,151.59,1.33
Onion,108.01,67.79,51.65,7.33,19.41,79.09,214.94,1.66
Cotton,86.63,79.07,101.59,6.74,25.9,52.18,52.78,1.81
Tomato,89.88,44.64,79.31,6.62,31.75,60.02,169.22,2.56
Soybean,78.52,73.5,27.55,6.69,26.83,74.92,144.46,2.45
Tomato,100.87,49.38,67.54,6.22,20.81,81.89,191.03,2.53
Soybean,55.03,69.43,38.96,6.82,27.01,54.84,207.38,2.22
Groundnut,11.62,42.25,45.72,6.37,30.29,80.1,91.15,1.29
Sugarcane,158.62,85.38,99.34,8.1,27.41,77.24,249.18,7.59
Maize,225.81,59.38,40.21,7.32,28.41,83.47,209.2,3.19
Onion,117.72,72.17,66.41,7.05,27.33,76.69,169.11,1.74
Potato,144.99,82.93,124.13,5.59,19.84,71.07,151.44,2.61
Wheat,125.73,60.93,32.8,7.37,23.23,81.63,134.61,2.72
Rice,87.48,71.55,38.09,6.64,31.04,81.87,177.68,3.01
Wheat,152.21,39.47,62.66,6.65,25.98,44.77,122.05,2.62
Maize,196.97,68.68,38.9,7.74,17.76,43.01,202.0,3.32
Maize,119.36,84.17,54.88,6.52,18.6,73.72,212.51,3.51
Soybean,135.4,38.6,19.49,6.15,25.77,72.43,117.94,1.63
Tomato,82.45,88.88,78.36,7.06,25.71,74.57,148.49,2.62
Wheat,139.28,86.58,63.93,7.35,19.55,74.4,116.18,2.98
Soybean,78.8,31.38,52.56,6.16,30.2,63.47,107.69,1.6
Soybean,66.43,11.52,18.32,6.88,29.93,74.25,81.65,1.6
Tomato,119.89,36.83,110.07,6.94,22.9,70.27,130.42,2.24
Potato,142.58,66.36,79.97,5.86,26.99,81.41,121.44,2.34
Onion,141.98,68.49,51.19,6.48,25.49,68.93,144.76,1.78
Cotton,131.49,39.3,96.35,7.1,38.38,48.11,206.8,2.03
Onion,80.46,40.32,43.59,7.01,24.61,59.26,98.78,2.23
Rice,131.83,48.73,40.76,6.56,31.07,69.77,187.13,2.52
Wheat,131.98,72.94,50.34,7.79,13.87,45.36,161.22,2.87
Onion,150.52,40.82,71.57,6.78,21.14,73.84,132.62,1.26
Cotton,144.3,77.6,57.49,7.2,30.47,57.61,92.48,1.83
Groundnut,29.23,73.45,50.87,6.01,30.86,31.51,157.44,1.17
Wheat,109.13,37.61,34.11,7.58,17.66,63.47,147.65,2.65
Cotton,102.3,24.34,89.93,6.75,20.22,50.72,195.04,2.26
Soybean,69.54,53.01,43.57,7.54,27.91,74.3,181.51,2.04
Maize,142.23,66.07,48.57,6.78,28.64,65.52,216.63,3.82
Potato,152.36,40.04,118.33,6.17,22.99,46.04,254.42,2.08
Rice,113.25,19.2,52.26,5.97,24.88,99.14,190.47,2.75
Cotton,126.1,59.91,73.01,7.18,40.02,54.42,130.05,2.4
Onion,133.17,73.74,62.77,6.23,30.17,53.54,115.13,1.42
Maize,148.08,76.58,56.43,7.01,33.07,69.54,167.79,3.94
Onion,135.68,25.45,61.95,7.15,20.51,78.76,92.5,1.63
Wheat,114.81,60.31,38.07,6.28,27.97,51.53,100.43,2.23
Cotton,80.83,23.54,102.84,7.5,24.56,77.52,169.09,1.88
Onion,25.02,95.82,22.21,5.98,27.11,89.4,169.21,1.26
Tomato,137.84,77.07,95.18,6.64,24.52,69.37,82.3,2.61
Sugarcane,149.21,98.03,80.23,6.65,30.9,88.92,295.92,6.85
Maize,120.31,88.82,30.35,6.69,27.75,55.32,185.27,3.14
Groundnut,11.96,56.4,8.14,6.42,26.9,65.52,111.2,1.59
Maize,153.76,61.41,52.45,7.07,25.24,65.41,144.9,3.71
Onion,57.92,84.99,25.12,6.45,18.41,73.95,85.25,1.69
Onion,79.8,55.58,33.29,7.87,16.06,68.1,131.69,1.79
Rice,74.44,37.4,40.88,6.43,32.82,102.11,172.13,3.04
Tomato,117.35,111.59,63.93,7.32,32.39,64.46,148.45,2.73
Groundnut,18.63,45.93,28.37,5.69,23.75,47.76,101.7,1.37
Potato,157.01,48.88,106.62,6.42,8.03,78.74,211.38,1.92
Rice,130.18,48.38,25.9,6.47,30.79,80.76,226.94,2.54
Wheat,125.08,31.73,57.78,6.55,16.32,72.36,204.57,2.77
Groundnut,0.0,43.67,64.26,6.27,38.6,63.93,109.6,1.11
Cotton,104.01,46.95,84.16,7.48,24.07,41.69,28.19,2.36
Sugarcane,166.9,56.94,107.77,8.45,29.97,83.38,254.09,7.0
Rice,107.57,34.19,45.35,6.66,24.66,89.92,191.25,2.9
Sugarcane,216.1,82.03,100.56,7.2,35.43,79.75,248.75,7.7
Tomato,161.71,71.16,80.21,5.84,18.67,66.95,89.52,2.57
Wheat,121.7,70.59,58.59,7.24,20.32,40.25,103.03,2.8
Wheat,83.71,72.0,90.62,7.61,18.93,74.91,157.43,2.38
Potato,131.6,73.95,92.24,6.09,18.8,75.03,171.85,2.6
Wheat,148.49,30.3,8.92,7.47,13.17,57.75,91.49,1.79
Onion,116.24,65.18,38.47,5.5,19.27,68.92,26.05,1.72
Maize,149.54,81.59,52.39,6.31,30.98,63.41,178.63,3.6
Maize,136.7,52.3,46.54,7.66,18.14,48.86,253.56,3.5
Potato,129.93,100.8,87.89,6.91,21.39,70.12,257.87,2.05
Onion,122.26,55.99,76.03,7.58,22.16,57.47,123.0,1.55
Maize,210.4,72.73,42.69,6.89,18.26,55.28,240.02,3.28
Cotton,68.59,60.73,93.71,7.36,32.98,47.43,48.91,2.34
Onion,90.32,44.98,76.56,7.08,24.28,86.65,67.82,1.9
Tomato,121.71,65.37,110.57,6.75,26.69,80.73,101.75,2.56
Soybean,48.66,20.67,91.12,5.95,24.89,67.23,145.37,1.7
Sugarcane,225.81,88.34,96.66,7.34,28.76,91.07,274.55,7.64
Onion,119.89,73.47,53.62,6.15,24.0,58.49,73.57,1.83
Sugarcane,237.15,100.43,106.18,8.05,31.2,101.02,278.28,7.04
Cotton,122.6,57.62,95.8,7.34,27.31,42.76,109.55,1.99
Soybean,62.58,71.77,83.4,6.7,20.02,74.45,189.83,1.63
Groundnut,25.98,50.29,24.3,6.52,26.4,64.2,55.63,1.52
Potato,171.67,72.54,134.54,5.8,19.12,84.33,79.08,1.85
Onion,54.23,75.25,38.96,8.08,19.18,66.85,177.11,1.91
Potato,211.85,104.17,120.48,6.3,21.89,69.49,109.09,2.03
Wheat,114.89,50.94,73.93,7.48,20.44,74.78,92.92,2.69
Sugarcane,178.5,62.67,98.35,7.14,37.57,81.31,198.79,7.53
Sugarcane,236.63,111.64,95.47,6.72,28.14,85.89,344.23,7.6
Wheat,105.33,37.61,62.82,6.12,21.62,58.52,126.7,2.37
Groundnut,45.41,39.35,16.6,4.76,26.86,77.72,183.06,1.21
Rice,61.93,49.38,20.03,6.65,31.83,92.27,194.99,2.87
Tomato,93.66,43.46,75.47,6.68,28.57,61.97,194.63,2.54
Onion,99.36,35.06,1.52,7.24,25.68,62.19,103.35,1.71
Sugarcane,153.12,89.42,115.89,6.57,31.47,61.43,273.32,7.15
Tomato,71.55,83.29,65.31,6.09,25.0,81.49,69.21,2.43
Sugarcane,212.86,113.86,103.53,7.02,25.86,75.86,196.39,6.96
Rice,93.1,58.08,0.0,6.0,31.1,100.57,201.04,2.44
Wheat,114.51,87.5,47.08,6.6,17.59,50.47,156.13,2.95
Rice,89.69,34.95,34.16,5.72,32.42,79.22,190.98,3.84
Sugarcane,208.96,84.96,91.47,7.77,30.57,60.62,295.96,7.37
Wheat,176.2,81.6,51.05,7.64,20.34,68.53,174.24,2.27
Rice,60.69,60.6,33.3,6.3,23.22,84.24,303.13,2.66
Groundnut,30.73,78.24,38.41,6.43,21.69,64.28,90.64,1.8
Wheat,155.62,111.79,71.59,7.16,20.97,56.47,166.92,2.28
Onion,105.05,76.35,29.87,7.37,28.59,63.82,-6.09,1.47
Sugarcane,238.91,99.54,80.01,6.95,34.2,80.47,238.05,7.24
Cotton,88.25,31.55,102.31,6.84,34.09,70.21,169.92,1.96
Potato,162.11,79.52,81.93,6.16,12.1,86.88,126.77,2.34
Sugarcane,208.5,94.82,111.73,6.96,34.36,61.54,256.32,7.97
Onion,69.99,36.45,60.28,6.89,23.75,69.89,131.74,1.92
Maize,162.29,65.17,63.45,7.75,24.34,55.25,235.35,3.61
Tomato,54.82,76.95,69.29,6.45,25.66,71.9,155.47,2.35
Tomato,135.39,54.81,94.78,6.81,19.32,80.86,93.2,2.88
Potato,161.02,116.76,95.53,5.83,17.9,71.97,190.0,1.93
Sugarcane,168.39,78.64,119.01,8.06,29.48,73.31,253.5,7.43
Potato,122.18,84.77,119.5,6.25,18.95,85.01,14.84,2.34
Soybean,60.38,23.39,60.22,7.19,25.31,79.53,210.61,2.02
Sugarcane,249.2,114.84,101.51,6.4,28.77,66.57,358.55,7.13
Wheat,123.7,71.03,60.87,7.85,16.89,61.95,112.88,2.55
Wheat,101.65,59.26,51.41,6.65,12.97,59.17,74.76,2.85
Soybean,82.47,30.85,43.82,6.12,27.6,83.4,36.24,1.93
Groundnut,25.2,63.43,44.26,5.82,25.4,52.04,153.8,1.59
Soybean,137.04,58.79,35.83,5.74,16.98,54.16,143.36,1.78
Soybean,32.56,77.9,40.34,6.57,34.06,78.97,116.57,1.53
Potato,85.45,65.62,95.78,5.51,17.34,75.77,138.76,2.04
Rice,85.06,48.84,18.19,7.21,27.51,80.19,235.41,3.07
Wheat,148.59,65.74,47.75,7.18,14.28,61.09,148.34,2.61
Rice,76.14,2.36,29.03,6.55,28.8,69.72,263.29,2.63
Soybean,109.08,68.54,37.08,7.39,20.03,79.19,180.03,1.68
Groundnut,71.77,45.0,45.77,6.33,26.33,68.11,139.67,0.82
Wheat,159.13,26.75,80.65,7.56,14.55,55.89,94.71,2.25
Sugarcane,190.76,115.59,126.21,7.9,27.19,72.91,165.83,7.08
Sugarcane,228.95,132.31,75.31,6.9,29.87,77.8,209.52,7.12
Sugarcane,185.78,99.71,110.93,7.2,27.82,73.9,245.58,7.63
Onion,92.24,81.97,61.22,6.65,25.48,61.66,158.66,1.73
Potato,146.78,88.95,68.58,5.44,12.03,76.43,236.63,2.66
Maize,169.14,80.02,13.98,6.53,21.06,58.79,171.59,3.24
Soybean,20.62,74.96,28.55,6.62,36.37,60.81,3.49,1.44
Maize,183.03,109.17,25.41,7.05,22.67,63.94,312.22,2.78
Cotton,107.61,59.35,91.72,7.05,29.54,51.08,133.46,2.19
Potato,168.65,72.61,107.54,5.99,23.63,74.49,61.35,2.52
Sugarcane,172.83,86.92,88.09,7.89,19.32,106.38,302.8,7.11
Wheat,118.35,65.71,70.42,7.32,22.78,60.9,140.13,2.8
Potato,144.15,102.68,111.87,4.53,21.28,76.95,149.06,2.18
Onion,133.72,68.95,34.54,7.0,17.14,51.2,68.66,1.77
Wheat,148.59,70.26,74.5,7.26,16.79,64.32,190.02,2.75
Rice,115.67,54.17,47.03,7.04,27.87,71.18,191.85,2.72
Onion,79.74,47.11,34.15,6.65,12.53,67.13,100.06,1.58
Rice,99.78,58.75,7.85,6.12,24.15,70.6,241.47,2.57
Wheat,112.06,19.92,72.71,6.38,20.3,62.77,218.03,2.25
Sugarcane,109.41,103.68,136.01,7.82,31.05,70.08,290.36,6.47
Maize,164.29,80.11,71.2,8.18,26.96,59.91,178.72,3.16
Soybean,59.16,51.81,39.52,6.58,21.89,81.21,130.01,1.93
Potato,140.16,83.1,116.5,5.57,14.71,71.96,82.71,2.14
Potato,135.71,97.49,105.25,6.1,22.25,73.63,169.52,2.28
Sugarcane,207.96,88.34,51.22,7.13,37.11,84.26,298.27,7.28
Soybean,82.66,63.95,37.65,6.34,29.08,82.04,123.03,1.96
Rice,80.02,52.02,11.12,5.35,25.25,67.79,174.59,2.87
Maize,136.4,99.05,56.53,6.95,28.11,53.61,231.96,3.5
Soybean,100.11,38.56,18.92,6.91,27.88,60.98,86.52,1.95
Rice,44.32,72.85,21.99,6.82,26.36,86.03,172.79,2.46
Soybean,81.23,39.96,64.82,6.24,24.86,60.06,1.88,1.86
Cotton,172.38,65.69,69.61,6.87,28.11,60.47,60.96,2.18
Potato,171.46,94.36,108.77,6.01,21.36,80.92,132.3,2.17
Cotton,103.06,80.98,45.22,6.27,28.82,55.51,128.67,2.16
Soybean,73.3,89.8,17.98,6.09,25.48,53.57,121.21,2.11
Onion,100.63,54.61,24.8,6.49,20.12,61.82,164.08,1.88
Potato,116.66,84.93,109.96,6.57,25.9,64.85,109.46,1.95
Maize,142.98,79.33,69.75,6.76,23.4,66.52,138.24,4.03
Sugarcane,151.77,103.69,140.47,7.2,29.05,71.43,240.98,7.33
Cotton,33.64,80.67,41.52,6.87,25.85,60.89,40.09,1.8
Sugarcane,260.73,72.74,103.79,6.87,32.13,75.19,217.93,7.14
Rice,134.13,36.18,54.4,5.85,23.22,84.72,274.21,2.73
Tomato,110.61,59.99,54.99,6.8,28.41,65.48,96.5,2.8
Onion,86.9,48.68,91.99,6.68,20.21,58.52,137.21,1.62
Rice,60.52,66.43,68.39,6.2,18.67,90.08,165.77,2.68
Groundnut,0.0,67.85,15.78,6.57,27.07,50.46,79.65,1.29
Rice,83.18,51.69,79.53,5.72,36.09,81.04,155.06,2.45
Rice,74.33,58.43,37.45,7.26,20.74,79.88,137.38,3.13
Tomato,146.61,51.58,27.92,6.6,26.18,74.04,181.79,2.23
Potato,170.41,103.85,64.43,6.16,15.48,74.18,167.38,2.06
Onion,79.73,50.68,28.26,6.26,25.4,53.51,133.32,1.81
Onion,48.23,36.45,73.88,6.31,19.68,69.62,139.17,1.47
Maize,132.07,98.45,84.78,7.29,25.43,56.92,138.48,3.31
Rice,92.55,68.03,53.01,5.75,33.26,70.02,180.8,2.83
Onion,159.87,112.2,62.13,6.71,24.67,73.88,83.97,1.65
Wheat,126.9,69.95,73.32,7.21,24.19,53.83,122.08,2.5
Maize,163.19,85.58,59.16,7.64,24.97,71.69,125.41,3.53
Wheat,140.87,76.98,54.12,6.96,12.41,56.43,194.52,2.73
Tomato,135.02,61.0,80.14,6.17,27.49,74.21,144.6,2.74
Wheat,55.4,81.94,50.42,6.57,23.47,56.08,203.0,2.47
Sugarcane,220.51,72.68,124.24,7.33,28.15,76.43,161.19,7.18
Soybean,49.12,32.95,19.55,7.06,22.85,85.34,103.21,1.29
Wheat,86.5,84.72,56.88,6.73,20.8,65.02,205.87,2.85
Tomato,109.21,33.48,71.73,6.63,19.18,60.43,137.19,2.63
Sugarcane,200.98,84.83,95.39,6.74,34.45,85.35,157.69,7.32
Tomato,75.1,47.0,78.33,5.78,19.39,59.96,130.36,2.59
Tomato,98.35,63.54,69.07,6.36,32.37,83.4,55.02,2.82
Rice,104.34,17.03,56.38,7.27,22.39,70.82,250.88,2.73
Tomato,136.54,66.81,87.81,5.84,29.24,81.7,108.53,2.72
Wheat,74.07,70.29,71.44,6.97,25.62,56.66,178.23,2.32
Soybean,79.29,56.51,54.51,6.32,25.34,78.26,108.16,1.8
Tomato,172.49,87.63,54.15,6.84,21.49,72.63,134.71,2.3
Tomato,96.49,46.19,61.68,6.08,23.66,62.84,154.1,2.92
Onion,82.6,54.79,59.99,7.04,22.38,72.43,124.11,1.56
Groundnut,56.07,67.75,24.73,6.22,30.42,57.91,153.65,1.71
Cotton,76.42,22.38,76.08,7.36,26.85,69.53,53.07,2.2
Sugarcane,181.82,134.39,139.85,6.82,27.25,83.6,230.64,6.87
Groundnut,30.76,11.61,39.72,5.86,24.53,74.44,37.17,1.68
Sugarcane,191.63,94.4,115.81,7.37,32.85,84.68,233.43,7.45
Cotton,67.45,33.49,128.98,7.62,21.24,41.78,144.09,1.93
Soybean,96.47,54.9,47.49,6.66,26.43,47.81,118.51,1.86
Maize,155.26,129.71,57.35,6.64,29.61,69.83,201.0,3.45
Cotton,161.7,27.38,79.47,6.54,30.78,45.81,99.13,1.85
Potato,179.27,98.37,75.09,6.03,14.45,62.41,139.15,2.11
Groundnut,102.8,58.66,12.45,5.92,32.11,80.88,20.7,0.5
Wheat,176.13,67.79,42.63,7.27,6.82,60.03,166.39,2.56
Rice,49.58,41.71,21.49,6.63,23.52,75.92,150.21,3.02
Potato,175.75,75.31,100.76,5.28,16.5,74.5,281.04,2.05
Tomato,163.93,79.94,85.61,7.38,25.86,73.89,117.34,2.79
Tomato,152.89,47.49,53.62,6.4,20.0,69.36,181.87,2.42
Wheat,118.72,61.16,76.97,5.88,16.97,62.11,210.0,2.66
Wheat,63.7,72.39,47.29,6.41,16.88,58.15,119.76,2.01
Onion,126.91,75.5,63.03,6.23,20.99,64.93,129.94,1.77
Sugarcane,177.97,101.64,109.15,7.93,33.52,82.89,254.19,7.82
Onion,112.29,32.78,78.07,7.15,19.78,60.21,114.83,1.75
Cotton,105.92,56.23,104.0,7.54,28.95,64.41,68.37,2.26
Maize,204.28,65.64,33.05,6.47,19.55,57.15,161.47,3.08
Groundnut,30.47,68.05,21.84,6.96,29.55,70.31,67.11,1.7
Wheat,87.24,77.8,63.44,7.28,14.12,51.05,179.86,2.38
Sugarcane,213.9,72.66,116.96,6.58,32.76,81.26,215.16,7.34
Groundnut,37.81,39.22,19.83,5.22,28.75,44.35,104.77,1.42
Cotton,120.37,43.96,63.41,7.37,29.68,58.16,143.46,1.97
Maize,172.7,82.25,29.67,6.68,24.8,63.66,196.69,3.81
Potato,182.45,53.76,112.44,6.66,19.93,85.91,250.61,2.32
Onion,107.48,70.9,52.9,6.81,20.24,80.63,59.08,2.08
Cotton,115.0,22.01,77.35,5.95,31.13,63.85,90.38,2.13
Tomato,178.62,49.89,58.82,7.24,33.81,70.04,170.57,2.62
Onion,77.73,40.29,74.62,7.64,24.81,56.2,199.35,1.49
Rice,69.95,46.85,71.08,6.93,30.07,84.63,202.18,3.01
Onion,24.11,44.07,54.83,6.22,23.93,62.96,187.77,1.85
Cotton,86.03,46.98,68.52,6.77,28.98,47.42,63.47,2.46
Wheat,138.89,43.91,77.91,6.68,21.27,68.2,148.32,2.72
Maize,134.51,66.07,45.88,6.43,24.12,49.51,155.44,3.7
Cotton,92.31,45.17,68.76,7.24,32.37,48.5,59.84,2.12
Wheat,105.38,52.96,44.6,6.35,17.72,61.81,179.75,2.59
Wheat,107.61,41.47,59.37,6.58,22.87,42.14,132.02,2.77
Onion,105.52,103.86,57.0,6.3,21.52,47.24,95.97,1.43
Maize,177.46,59.01,47.66,6.48,33.69,61.79,271.63,3.71
Cotton,114.46,57.37,77.88,6.04,26.61,63.45,117.56,2.0
Cotton,98.43,84.08,94.94,6.97,32.76,51.33,34.81,1.85
Tomato,166.89,54.52,75.13,6.35,33.52,86.26,230.94,2.45
Sugarcane,208.87,69.67,129.54,6.62,31.08,64.03,220.56,6.95
Groundnut,11.76,39.22,29.03,6.62,21.48,62.21,160.9,1.27
Sugarcane,178.46,95.39,123.59,7.3,27.34,79.84,194.89,7.5
Cotton,112.26,43.84,53.23,6.56,30.67,67.29,88.13,2.33
Onion,37.39,38.31,49.38,6.35,17.32,58.32,114.61,1.57
Potato,82.85,37.59,87.86,6.23,4.26,70.0,123.69,2.15
Cotton,88.45,57.66,72.83,5.93,31.84,57.15,145.41,3.0
Rice,17.48,74.49,34.25,6.64,27.77,75.76,171.51,2.47
Wheat,74.48,75.01,51.68,6.43,17.75,72.57,123.23,2.59
Soybean,58.07,75.16,63.71,7.42,25.12,76.69,134.9,2.13
Cotton,78.44,64.9,66.11,6.97,28.46,57.52,114.19,2.29
Rice,127.34,59.71,57.38,6.27,23.55,89.55,243.8,2.82
Rice,61.88,35.41,7.21,6.3,32.98,75.34,232.02,2.76
Groundnut,39.72,27.05,41.7,4.7,26.07,43.7,160.3,1.62
Maize,164.0,100.42,31.02,7.67,29.66,62.63,236.78,3.11
Cotton,75.26,37.83,59.42,6.47,34.12,52.41,137.63,2.05
Maize,95.38,75.4,11.75,6.77,18.16,84.87,225.57,3.09
Potato,187.91,63.07,110.87,6.1,19.32,87.72,186.62,2.26
Onion,50.35,30.8,47.55,6.85,16.35,89.12,175.82,1.67
Soybean,82.16,55.76,30.96,6.54,27.29,57.58,146.71,1.99
Onion,42.77,32.79,41.73,7.74,24.78,51.65,124.3,1.24
